name_of_drug,use_case_for_drug,review_by_patient
Parnate,Depression,"""I have been on Parnate for 1 year now. I have been on many other antidepressants. Parnate has certainly worked for me. There are still some days that I feel just a little down but nothing compared to the major depression I had suffered. Before my doctor Put me on Parnate I had been hospitalized and underwent ECTS successfully. Now I feel good finally. I do have to watch the foods because I hyperventilate and also severe diarrhea. Plus I am on 50mg of Seroquel in the morning and 100mg in the evening. Parnate is 10 mg x a day, which is low compared to some people.
"""
Zipsor,Pain,"""I fell and broke the Radial head of my elbow (have never broken anything before and I am 45 yrs old).  The doctor put me on Vicodin and it did nothing for that pain, UNTIL he gave me Zipsor, I was much much better in about an hour!  The only side effect was that I was a little sleepy."""
Moxifloxacin,Bacterial Infection,"""2nd day on the 400mg.....crazy side effects. Felt like a bad mushroom trip. Really messed me up. I swear I heard the sloshing around of blood pumping while completely zoned out"""
Abilify,Agitated State,"""I started this just a week ago for severe anxiety brought on by some recent experiences I had.  In the 13 years I&#039;ve been seeing my psychiatrist I&#039;ve never had such panic.  He immediately asked me a couple of questions, knowing me very well, and then prescribed the lowest dose.  I was hesitant but couldn&#039;t see any other option than I give this a try! WOW! For the first time in about a month I feel more &quot;normal&quot;! The anxiety is just about gone, I am functioning again and no side effects that I can detect and I am a lightweight with meds!"""
Tramadol,Chronic Pain,"""Terrible drug.  Give me headaches an restlessness."""
Varenicline,Smoking Cessation,"""I have used these to completely stop smoking, I took as prescribed, with no noticable side effects.

I am cigarette free now for 7 weeks, and there are times that I would happily sell everyone I knew into slavery(yes an exageration) for a smoke, but these have become much fewer, and also much less intense.  To point now I had one today, the first this week, and it lasted a couple seconds and was gone.  Compared to how it was before using this, when it would result in an hours of restlessness until I got a cigarrette. 

I would recommend to anyone wanting to stop, it will still take willpower, but this will make those low times much easier to handle, and also make them fewer."""
MiraLax,Constipation,"""I hadn&#039;t had a &quot;satisfying&quot; bowel movement for weeks. Just a little bit here and there. I weight lift and monitor my calories and weight so I knew the constipation was getting serious when my weight was up by at least 5 lbs despite being on a &quot;cutting&quot; diet.

I took miralax over two days (two doses total )- and wow, it really worked. Once I went to the bathroom, it was like a floodgate opened (sorry for the graphic description). But it came out firm yet soft.

I had no painful urgency or side effects, just a natural urge to go.

The only negative side effect I had was painless gas. Lots of it. But totally worth getting back to a regular state.

I&#039;m going to keep taking this for a few more days just to make sure I get back to regularity."""
Treximet,Migraine,"""I have dealt with horrible migraines pretty much on a daily basis for almost 14 years now. My Neurologist says I have some of the worst he&#039;s ever seen in all the years he&#039;s been in practice. I receive Botox treatments every 3 months and the only medicine that really alleviates the pain after trying dozens is Norco. Insurance wants to charge $32.00 per pill which I cannot afford, so luckily I get a few samples each month. With the exception of a couple times treximet always seems to help with in about a half hour or so. I would recommend treximet to anybody who has true migraine issues."""
Viibryd,Depression,"""I have been taking 20 mg for about 2 months and it is great for me. It helps my bi- polar depression and anxiety."""
Lamotrigine,Seizure Prevention,"""I have started taking lamotrigine with the intention of weaning myself off phenytoin. Unfortunately after 2 weeks and 2 days I have had terrible side effects, splitting headaches, vomiting, nausea, dry mouth and extreme irritability """
Azithromycin,Upper Respiratory Tract Infection,"""I was prescribed 250mg, 5 day dose pack of Azithromycin for upper respiratory infection. Dosing: 2 tabs 1st day, then 1 per day for 3 days.  Took 2 tabs 1st day no problem.. 2nd day, 1 tab in morning before driving to family reunion. Almost immediate intermittent left upper chest painb.  No other symptoms of heart attack.  Chewed 2 aspirin after lunch - only slight relief. Returned home in evening and found Cardiac symptoms listed on dose pack descriptions.  Discontinued taking Azithromycin and had no recurrence of chest pains 3rd day to date. Ten days later I had electrocardiogram down and results were normal."""
Gabapentin,Peripheral Neuropathy,"""I&#039;ve had neuropathy for around 8 months. My first dose of Neurontin (300mg) made me feel very &quot;loopy&quot; for several hours. So loopy that I only took 150mg 1x a day for the next two weeks. I had a couple of good days on it and sometimes the medicines took the edge off my pain. But it didn&#039;t take the pain away fully and made me extremely moody and act out of character. I have two genetic diseases that makes me sensitive to medication so that might be why Neurontin was not effective for me."""
Tioconazole,Vaginal Yeast Infection,"""Highly recommend this product works great!!!!"""
Cyclosporine,Keratoconjunctivitis Sicca,"""I used Restasis for extreme dry eyes. After 2 years and no relief I gave up. Restasis didn&#039;t do a thing! I now use Retaine available on line or at pharmacy. It&#039;s new...and works great! No prescription needed...and only about $20 for 30 containers. Use just like Restasis."""
Rexulti,Major Depressive Disorde,"""I was severely depressed for several months. My Dr. Tried everything that I could tolerate. I am on Trintellix &amp; Klonopin. I started on the sample pack up to 1 mg. I snapped out of the hard depression within 10 days. I felt super. I talked Dr. in to an increase to 2 mg. I was irritable and nervous. I went back on 1 mg. and was back to my happy self. I would highly recommend  Rexulti to anyone with hard to treat depression. This medication gets a full 10."""
Ciprofloxacin,Urinary Tract Infection,"""I had UTi for 13 days and I was too much woried about it. it was a very painful expirience when urinate. so I searched out and choose the cipro. I had taken 2 pills 250 Mg in 24 hours. Believe me I had no notice any side effect of this medicine axcept a  minor headch and I feel 70% beter then before.It works for me and I hope I will recover 100% with time. scary reviews was scaring me but its different for me Thank God."""
Bisacodyl,Bowel Preparation,"""I dont really use laxatives in my life but because I felt a bit constipated I took two pills( thought 1 will not be enough due to its size) and at 5 am got really bad cramps, and lots of regrets. No more laxatives for me, not worth the pain. By the way, it took just 3-4 hours for the pill to kick in, a way shorter interval of time expected."""
Levothyroxine,"Hypothyroidism, After Thyroid Removal","""Thyroid was basically destroyed by radioactive iodine treatment.
Only thing that&#039;s hard is taking it w/o food etc"""
Indomethacin,"Gout, Acute","""My mates told me about the tablets ,,, and wow ,,, had a attack for 5 days in my knee I could not walk or get out off the chair , my mate gave me some , I know I should not take somebody&#039;s else&#039;s tablets , but when in pain you will do anything. The next day after taking indomethacin I could get out off the chair and walk. I still sore but after 3 days back to normal"""
Selenium sulfide,Seborrheic Dermatitis,"""This dandruff shampoo is AMAZING. I have scalp psoriasis. I&#039;ve tried ALL other dandruff shampoos. I even elocon lotion. But no matter HOW much dandruff shampoo or elocon I use, I STILL have a lot of flakes, even after a good hair wash. BUT I tried this shampoo, &amp; even after just ONE application, when I got out of the shower, for the first time in YEARS, absolutely NO flakes. Not even one. Brilliant product. I LOVE IT"""
Levonorgestrel,Birth Control,"""So let me start by saying that I&#039;m writing this as someone who I wish I had before I got my skyla. I went to get it today. I have been through a considerable amount of pain in my life. I&#039;ve been kicked by horses. I&#039;ve drowned and was found and said  to be &quot;dead&quot; but was resuscitated. I&#039;ve gotten 5 concussions and dislocated my shoulder been bucked off horses. I&#039;ve felt pain. Just about nothing compared to the pain of having this stupid piece of plastic   put in my body. If u have friend u love or family wanting to get this IUD simply forbid them. I&#039;m not saying this to scare u. I&#039;m saying this because I want to help u. It&#039;s such a joke that birth control is this painful. And that people don&#039;t warn u as much as they should. I was screaming"""
Lyrica,Pain,"""Not doing much for shingles pain."""
Xanax,3</span> users found this comment helpful.,"""Xanax is the perfect solution for those of us who have trouble sleeping, Off to sleep you go !!! no strange thoughts buzzing around your head, just quality restfull sleep with no groggy after affects, but i do wonder if it so astute at switching my brain off from random thoughts is it affecting my ability at work and such, (ie) to just cruise and be content instead of getting on the front foot and nutting things out, being a go getter?? i only use as required and cant praise this substance enough."""
Alesse,3</span> users found this comment helpful.,"""I&#039;ve been on this pill for almost 5 years now and never experienced any serious side effects. But I just decided to switch now because lately it seems that the pills are losing their effects! There have been at least 3 times in the past year that my period came earlier than it should. This time totally even 1 whole week earlier! I don&#039;t really want to switch because I guess my body is now well balanced with these hormones, but my own opinion is that it&#039;s losing effect after this long. I don&#039;t know...my doctor said trying other combination wouldn&#039;t hurt."""
Nimotop,Ischemic Stroke,"""Ive been on Nimotop since 1997. It is truly a miracle drug. I went from a stroke and an inoperable aneurysm and wasn&#039;t able to speak, think or walk. Today I am walking, writing, speaking and feel like I&#039;m a miracle."""
Nexplanon,Birth Control,"""I had seen everywhere that spotting was the worst symptom of this. Once I got the nexplanon my period stopped immediately with no spotting whatsoever! Yay! On the downside, I was a little emotional for about two weeks. Once that wore off, I became extremely exhausted and hungry all the time. The symptoms have eased up within about two months. I still get pms-like symptoms but no actual period. Overall I adore this birth control method! No babies and no having to remember to take a pill!"""
Lorazepam,Anxiety,"""For three months I suffered from debilitating nausea (without vomiting).  I couldn&#039;t get out of bed because I constantly felt like I was going to vomit.  It was absolutely horrible and I could not figure out what was wrong with me.  I&#039;ve always been an anxious/stressed out person but never thought that it was out of the ordinary.  Finally my family forced me to go to the doctor and she told me that because of my upcoming life events (getting married, moving out) and because of my Type A personality, it&#039;s likely I have a slight chemical imbalance in my brain which could be causing my extreme nausea. She put me on sertraline, but also gave me lorazepam for sudden anxiety/nausea attacks. My nausea is GONE and I feel better than ever!"""
Carbatrol,Epilepsy,"""I&#039;m 51, been having seizures since I was 12. Carbatrol and Depakote are what I&#039;m taking now for about 20 years. These are the only medications that seem to work for me, I&#039;ve been considered controlled, I drive, the best thing that happen to me. Only thing they are just so expensive."""
OxyIR,Pain,"""Works well for the pain and works fast, also with IR you know when it is going to take effect."""
ParaGard,Birth Control,"""23, no kids, 1  year. I am one of the lucky statistics that for some unknown reason, expels IUDs. (Twice now with the Paragard) but I did want to share despite that, my positive experience in general. Being young I knew this would be a convenient means of longterm birth control   the no hormone aspect really enticed me. Have had bad experiences with Nexplanon and pills. Insertion: wasn&#039;t horrible for me, felt like a weird really invasive pap that clamped down inside you for 5 seconds. 2 days of cramping and heavy bleeding after. Positives: convenience, no weight gain, acne, hair loss or anything like that. Negatives: heavier period bleeding, possibly painful sex. My cervix was super sensitive and sex was less pleasurable than before."""
Benadryl Allergy,Allergic Reactions,"""I have had allergy all my life, pretty severe and I live in allergy heaven in TX. I have tried Everything and for me, benedryl is still the best.
I work and it does not effect me, I often take it several times a day."""
Genvoya,HIV Infection,"""I was on a robust regimen (for 8 years) that was working great, but seemed like a heavy load (2 x per day, multiple pills...) and what attracted me was the once per day option and &quot;easier&quot; effects on my biology. I began taking Genvoya and, unfortunately, lasted only 2 weeks. My fingers were tingly &amp; going numb, my heart rate was stressed, intense fatigue began to be a problem, muscle aches and then my sternum started to hurt . My doc let me know if Genvoya proved not to work for me that I could easily go back to my previous med combo. I chose to do go back and VOILA!, I feel 100% better and all side affects are subsiding or are gone after only 2 days. For me, I felt like I was taking poison - was this really researched?"""
Desogestrel / ethinyl estradiol,Birth Control,"""Just about to finish my first month of reclipsen. I had never taken birth control before and was a bit terrified to start this one. I noticed I was very emotional and cried a couple of times even at work which had never happened in the year and half that I&#039;ve worked there. My breasts did swell a little which was nice since I&#039;m an A cup. My period started 3 days into the inactive week. I&#039;ve always had painful cramps and trouble sleeping while on my period but this one was by far the worst. The first night I started my cramps were extremely painful and I couldn&#039;t fall asleep after waking up in the middle of the night for the first two nights. Acne is the same it hasn&#039;t helped or made it worse. Overall this has been a decent 1st experience"""
Ethinyl estradiol / norgestimate,Ovarian Cysts,"""Sprintec overall had a positive effect on my body, regular periods, bigger breasts, no weight gain, increase in sex drive, and helped quite a bit with acne. Four months into it I caught a yeast infection which is the only downfall I&#039;ve noticed."""
Linzess,"Constipation, Chronic","""I&#039;ve been taking Linzess for a year and honestly can say it&#039;s a life saver ! Of course like any drug it comes with its pros and cons but for the most part to not feel jam packed everyday is such a relief! I also need to plan my day around the drug and I have found a schedule most suitable for my daily routine. I work a full time job and get home around 5pm. I&#039;ll take 145 mcg with a bottle of water and eat dinner. I know by now I will not have a BM until 8-9pm. FLUIDS are key! I have rapid diaherra then I&#039;m good to go to bed by 11pm. I&#039;ve also taken many times before drinking alcohol and the drug would not activate whatsoever (FYI, no other negative sides w/ alcohol). I also drop a few pounds and the following morning always look my leanest!"""
Pylera,Helicobacter Pylori Infection,"""Everyone&#039;s differvent but for me personally. 26 year old, 160 pounds, sorta in shape. I felt permanently hung over with a metallic taste in my mouth. Lack of sleep as week really hit me. Try to stay active or entertained. Take time off work if you can. After a while everything feels like a dream"""
Depo-Provera,Abnormal Uterine Bleeding,"""Took the depo shot for the first time earlier this year. Completely changed me my personality and my body. I break out easily I bleed all the time . I spot all the time! Made me bi polar and just overall horrible. When will it wear off?! When will I get my normal period and be back to normal?! I&#039;ve been off 3 months now."""
Bupropion / naltrexone,Weight Loss,"""Started Contrave 4/17/2017. It works lost 4 pounds, no side affects except extreme dry mouth which I drinks plenty of water. I take 2 pills daily."""
Trazodone,Depression,"""With all due respect, don&#039;t listen to the naysayers. Its a great medication. No loading period, you can come off at anytime and it is only mildly addicting when taken in high doses for long periods.
You will sleep, it will keep your anxiety and depression in check and it will allow you to be yourself again. People who tried it for a night and complain in reviews have not given it a chance.
I don&#039;t understand, do they prefer to have their brain chemistry altered forever by paxil? lol Trazadone is a SARI and a minor one at that. I don&#039;t want to be a slave to paxil and the like forever, hence traz is a much better option."""
Ethinyl estradiol / norethindrone,Acne,"""Looking over these reviews, it&#039;s such a relief to know that I am not alone in dealing with the HORRIBLE, EMBARRASSING and PAINFUL cystic acne this has caused me. Until starting, my (then) clear, flawless skin was the thing I liked best about myself. HOWEVER, within a month, this had truly RUINED my skin forever. Excessive and deep cystic acne that did not respond to any dermatologist treatments and sent me into a spiral of low self-esteem. Gyno insisted I stick with it for 6 months to see if it evened out. IT DID NOT! Instead, what I&#039;ve been left with is unresponsive acne for the past two years (yes...1.5 years after I stopped taking this) because of this horrible pill. Also, did not work properly and gave me 2 periods/month :) STAY AWAY!"""
Alprazolam,Anxiety,"""Acts very quickly and definitely feel the calming effect. The only downsides is that it doesn&#039;t last very long (2-3 hrs max, maybe even less) and you quickly build up a tolerance for it so you end up having to take much more the more you use it."""
Doxepin,Insomnia,"""I have been using Ambien for years for sleep maintenance.  I tried Silenor over the last week and it&#039;s been fantastic!  I don&#039;t have any side effects whatsoever in the morning.  Slept 7 hours straight every time I took it."""
Cyclobenzaprine,Sciatica,"""I take a 10 mg pill before bedtime. I sleep like a rock and am foggy half of the next day. The pain is relieved only for the next day or so."""
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,"""Piece of cake.  I stopped eating meat, poultry, and fish 2 days prior.  Ate low fiber foods day before prep, and only liquids day of.

Placed Suprep and water in freezer one hour before drinking.  Mixed it as per instructions, and drank it all through a straw in 10 minutes flat.  In between drinks, I&#039;d swish some Powerade around to kill the after taste.  Drank my 32 ounces of water in another 15 minutes, and waited.

Didn&#039;t have to wait long!  45 minutes after the first gulp, it had arrived at the other end.  Off and on the toilet and it was over 90 minutes later.

The 3am feeding produced the same results, but this time it only took 15 minutes to arrive.  1 hour later, it too had finished.

No chills, nausea, or headache.  Taste not that bad."""
Topamax,Migraine Prevention,"""I have been using Topamax for 1 year and I have not had a migraine in a year.  Before taking Topamax I was in bed for 9 months with a migraine headache."""
TriNessa,Abnormal Uterine Bleeding,"""I&#039;ve been on this birth control for quite a while now, and it&#039;s made me very depressed. Especially when I&#039;m alone and not doing anything I feel very sad and depressed. And every other month or so I&#039;m bleeding abnormally. Though I don&#039;t have a period every month, I shouldn&#039;t be bleeding all the time."""
Implanon,Birth Control,"""After insertion, the site where it was inserted had a dull pain that still lingers today. A couple months in I threw my tablet at my mother in a blind rage. When nothing was wrong in my life I felt a constant irritation with the people around me. I would have times where I would be nauseous for a week and a half at a time accompanied by smell sensitivity. I have lost weight but have been bloated, with constant headaches. :("""
Sprintec,Birth Control,"""I&#039;ve been on this medication for 3 months and I thought my side effects would get better as time went on, when in reality it&#039;s only gotten worse. I feel nauseous everyday, I don&#039;t ever want to eat, my doctor told me to take it with protein but every time I eat I feel even worse. I&#039;ve been losing sleep every night from feeling so sick in my stomach, I feel really depressed and my anxiety is through the roof! My follow up appointment is in a few days, I cannot wait to get off of this!"""
Metronidazole,Rosacea,"""It really hasn&#039;t seem to change anything for me other than it lightened a tiny bit of the redness. I&#039;m hoping its just because I&#039;ve only been using for 3 weeks. Hopeful but skeptical been down this road many times, nothing seems to work entirely for me."""
Ethinyl estradiol / ethynodiol,Birth Control,"""I have a love and hate relationship with the zovia 1/35 birth control pill. Back when I was younger in my teen years even early 20s it worked amazing. No weight gain at all. I stopped taking it for a few years when I started my family and now 10 years later decided to get back on it. Let me just say, weight gain! I don&#039;t blame the pill 100% but I feel like you have got to be prepared for how hungry this pill makes you! So you will be hungrier than usual and eat more and hence gain weight on it. Its getting out of control, I have decided to stop this month."""
Implanon,Birth Control,"""Love it. Girls Implanon is amazing.
Positives:
1. no pill phone alarms any more. 
2. no worry for three years.
3. no period for 7 month yaaaaaaaaay (I had it inserted in June 2010).    
4. I got nothing of the side effects they are talking about.   
5. no more hormones, no more crying or mood swings.     

I only got low libido, which is fine for me. 
When I got it inserted, didn&#039;t feel a thing. It was smooth and easy.   

But few hours after that I got worried because I could feel it, even without touching my arm. It got sore, no one could touch me there(but it was not bad at all)!

Now after 7 months I don&#039;t feel it, it&#039;s not itching."""
Belviq,Obesity,"""I began this medication a few days ago and it&#039;s been a Godsend, thus far.  My main problem in the past has been nocturnal eating.  I&#039;d wake up, barrel down to the kitchen and -- whilst half asleep -- devour PB&amp;J, pasta, whatever-the-heck was in the fridge.  That&#039;s gone.  As a result, I&#039;ve been sleeping through the night.  I don&#039;t often feel hungry and when I do I control my portions with ease.  No nausea or headaches - yet.  I felt a bit &quot;strange&quot; my first day on it, but that may have been a result of not feeling hungry 100% of the time.  I was also slightly lightheaded my second day; may have been a result of reduced caloric intake.  I&#039;ve yo-yoed a lot and finally feel that the monkey is slipping off my back.  RECOMMENDED."""
Bupropion,Anxiety,"""This medicine gives me highs and lows. Doesn&#039;t work well with anxiety, helped depression but if you are anxious this medicine may not work well for you."""
Sertraline,Borderline Personality Disorde,"""I first started taking this in 2012 and at first all it did was make me incredibly tired but then it also made my moods more up n down and caused me to have psychotic episodes. i abruptly stopped taking it at that point (stupid i know....i shouldve tapered off) and from doing so i had extreme psychotic episodes. 
Ever since taking it all those years ago, ive had numerous psychotic episodes. My dr thinks it was the sertraline that reacted badly with my brain, leaving me now prone to having psychotic eps. 
I tried different dosages too, starting from the smallest dosage. I would never recommend it to anyone after what i experienced with it but then again everyone is different. All i know is that Sertraline made me worse mentally."""
Finasteride,Androgenetic Alopecia,"""Complete Brain Fog, worse than anything you can imagine, literally can&#039;t get out of bed because of the brain damage that this drug induced on me, I feel completely literally detached from the world now, not to mention even the less serious it caused, ED, no Libido, Head Pressure, complete cognitive shift, feel like I&#039;m in a whole different world, NEVER TOUCH this drug EVER EVER EVER, unless your old and have nothing else to lose and don&#039;t care about life any more. I would trade this with ANY other disease just for my brain function to come back again, I feel like I&#039;m in a coma, it&#039;s absolutley frightful, everyday 24/7, it never leaves, sexual sides are a joke compared to this."""
Liraglutide,"Diabetes, Type 2","""An update on Victoza.  I have now been on it for a month.  This medicine is wonderful.  I have upped it to 1.2.  I have lost approximately 10 lbs.  Victoza will definitely tell you what you can and cannot eat.  Most of my side effects have gone away.  My morning blood sugars have been lowered by approximately 50 points.  I work crazy hours and I have to keep glucose tablets in my vehicle.  I just cannot pull over to eat regularly. I suggest this medication to anybody who has Type 2 diabetes."""
Brilinta,Prevention of Atherothrombotic Events,"""I had a stent installed in right ventricle at 80% blockage. And then I was put on Brilinta for 1+ year. Minimal problems.  Minor bruising in last few weeks.  Minor bleeding early on. Can&#039;t tell if it&#039;s affecting breathing since I&#039;m also on other meds (statin, metoprolil, lisiniprol ... pardon spelling errors).

I was a runner, now am walk/jogger...a few miles/day, few times a week.  Still experience some pressure/breathing occurrences during first few minutes, then I walk, and restart jogging. After a while (10-15 minutes, about a mile)  this tends to go away and I can jog a little longer. No way to determine if any of the meds contribute to this.  

I look forward to stopping Brilinta very soon. Hope it helps the breathing/pressure  but am pessimistic"""
Bupropion,Major Depressive Disorde,"""First day sucked, and most of the second day sucked... I got home from work and was sitting on the couch watching pbs thinking about how much I hate tv, when I started to feel really good about watching it.. I liked the people in it and was interested in what was being said. It was obvious it had kicked in. As far as negatives I have a slight ringing in my ears... and I&#039;m taking 150mg XL and I can only feel it working for about 6 hours. Maybe I&#039;ll have to up my dose or take another dose later. 25yr old male. Cheers!"""
Bismuth subcitrate potassium / metronidazole / tetracycline,Helicobacter Pylori Infection,"""I am on my 7th day at Pylera and so far everything is good. Yes I feel a little bit tired, had a few headaches especially in the midfrontal head and I had the metallic taste every morning; however, I&#039;ve been eating better. I had some diarrhea the first days and now my stools are better. It is annoying to take 12 pills at day and be on top of schedules. I also take probiotic yogurt even though my gastroenterologist did not told me about it. I hope this works. !!"""
Ibuprofen,Muscle Pain,"""A soon as I took it I started having blurry images, I couldn&#039;t breathe and everything turned for the worse. I feel like everything that surrounds me are circling or rolling."""
Cymbalta,Anxiety,"""Works okay for me. I went on it because Cipralex (Lexapro) pooped out on me. Doesn&#039;t deaden my emotions as much as other drugs. Anxiety is pretty much non-existent now but my depression remains. No side effects. I put on a lot of weight on Cipralex and it hasn&#039;t come off while on Cymbalta, but it hasn&#039;t increased either. I haven&#039;t had any notable side effects. Oddly, I did have an irritated sciatic nerve when I started Cymbalta and while I wasn&#039;t put on it for that, it did kind of help that too."""
Effexor XR,Anxiety,"""Started taking Venlafaxine ER a year ago for anxiety. Started at 75mg daily and am currently on 150mg per day, and have been for about 8 months. It has helped a ton with the anxiety! While I am not completely clear from anxiety, it is much much better to handle. I did not gain any weight whatsoever. I do notice that if I forget to take it I feel a bit nauseous and lightheaded so I have set an alarm on my phone. I take both 75mg pills at one time so that it&#039;s done for the day. All in all, I would recommend!!"""
Terbinafine,"Onychomycosis, Toenail","""Been using for 5 months, my doctor advises one more month of use. Had fungus on 2 nails and my big toenail that was 80% infected has improved to about 15% remaining.  Improvement in nails was very slow for the first 3-4 months and with this month you can see the improvement everyday. Thankfully, no side effects other than stomach cramps for the first few days. Monthly blood draws to check liver enzymes are normal."""
Etonogestrel,Birth Control,"""So I got this implant 08/2015 and the first 4 months my periods were normal and first 2 months I had a few mood swings. After the 3rd month everything seemed normal for about 3 more months. No weight gain, or mood swings or anything but now it got pretty bad. I went without a period for two months but now that it&#039;s back I get it every 2 weeks. I saw my dr yesterday 7/272016 and said that it is thinning out my lining so maybe that&#039;s why I am having my period more often. She prescribed some estrogen to see if it balances everything out and if not then I will need to take it out."""
Contrave,Obesity,"""I stated taking Contrave a week ago I lost 7lbs so far. I don&rsquo;t feel hungry but I eat about 3X a day low carb some protein and fiber. I drink plenty of water. I sometimes feel nauseous. I don&rsquo;t like to take medications but I am trying to continue taking it because it seems like it&rsquo;s working. After reading some of the reviews I am more confident about it now. I&rsquo;ve been thinking about major side effects with Contrave but no one has reported any so far. Good luck everyone in this weight loss journey."""
Fingolimod,Multiple Sclerosis,"""I was diagnosed with MS in 2013 at age 39 doctors said I&#039;ve had it quite some time with the amount of old lesions on my brain. I started on Rebif and it made me feel horrible, so then I took Tecfidera which ended up giving me major joint pain to the point of not being able to function at times. So I was able finally  go on Gilenya and so far so good. The only side affect so far is extreme fatigue which we all know we already have plenty of that with MS. Gilenya allows me to function &quot;normal &quot; again and play with my daughter.  Hopefully it will continue to work for me and keep away any new episodes!"""
Prazosin,Nightmares,"""Been taking 1mg of prazosin for the last 2 months for PTSD nightmares that were causing sleep problems. Nightmares stopped the first day I took it but, I experienced severe headaches, dizziness, drowsiness, nausea and a lack of energy. As I got used to it, the symptoms gradually improved but did not go away completely. If I&#039;ve been drinking, the symptoms will worsen but it is bearable. Overall, my nightmares have become rare and I can sleep through the night; the side effects are worth it."""
Bydureon,"Diabetes, Type 2","""2 years"""
Escitalopram,Depression,"""I was on Lexapro for about 5 weeks, did notice some moderate signs of lifting out of depression, but the side effects forced me, with the doctor&#039;s urging, to go off it.  Got both serious insomnia and serious drowsiness during the day and inability to get orgasms."""
Lorcaserin,Weight Loss,"""I started it last Saturday , by Tuesday evening , I gained 5.4 pounds, had to stop it. I was watching what I eat and I am a tennis player. 
Could it be my thyroid medication , I take lithoviroxine .75
It did curb appetite a bit  . I need to lose 20 pounds"""
Clindamycin,Bacterial Infection,"""I took this medicine for 5 days, and then I decided it was not worth the suffering.  The dentist wasn&#039;t even sure I needed it, but prescribed it anyway.  I stopped taking it because of extreme pain on my left side, right below my breast. It didn&#039;t feel like any gas I&#039;ve ever had, but I guess it was some type of intestinal pain.  I was also having frequent, urgent bowel movements though not diarrhea as they warn about.  Now five days without the meds, and I&#039;m still nauseous, especially after bowel movements. I&#039;m bloated, gassy, and just generally feel awful.  What a mistake it was to trust my dentist on this one!"""
Ethinyl estradiol / norgestimate,Birth Control,"""Had no issues on this! No noticeable weight gain or change in mood or anything. Got my period during the placebo week which was nice, because my period was super irregular before (got it anywhere from 28 to 54 days in between cycles). Only once did I start getting my period a day or two before the placebo week, so my OBGYN put me on an extra dose of estrogen pills the next month to balance it out. That seemed to fix it. My acne cleared up a bit too. Only switched off it to get an IUD, but if I was going to stay on an oral BC I would have had no reason to leave this one."""
Sulfasalazine,Psoriatic Arthritis,"""I was on sulfasalazine after being diagnosed with PSA.  My first arthritis medication.  I was also experiencing reactive arthritis when first diagnosed. I started at 1 tablet 2 times a day.  I had some quite adverse reactions to start, trouble sleeping and nausea.  Rheumatologist suggested humeria.  After reading up on humeria I decided it was worth trying to soldier through a longer trial period with sulfasalazine before switching, eating plain food etc. to minimise impacts of side effects.  So glad I did.  Now at 4 tabs/day.  All the side effects are now gone and I can eat normally.  Sulfasalazine has reduced joint inflammation to the point that I can exercise. I recommend giving sulfasalazine side effects a bit of time to equalize."""
Acetaminophen / butalbital / caffeine,Headache,"""Beware - this drug may give rebound headaches."""
Alesse,Birth Control,"""Started taking Aleese 4 months after first baby. Within the first 24hrs I developed a headache. For a week I took my pill same time everyday. On day 7 my headache had become unbearably bad. By the next morning I started pain puking unable to open my right eye. I went into emergency at the hospital and was treated for a migraine... a migraine was not what the problem was I have a blood clot in my brain caused by being on this pill for 1 week. I am now on blood thinners and treatment for the clot luckily I did not keep waiting for what I thought was my body adjusting to this bc. I saved my life by going to the hospital."""
Polyethylene glycol 3350,Bowel Preparation,"""This helps but after you take it and poop, etc.  You may loose control of your bowels if you laugh or anything like that it will make you poop without wanting to."""
Alprazolam,Anxiety,"""I&#039;m currently on alprazolam-1mg a day. I&#039;ve been diagnosed with severe anxiety and panic disorder, afraid of dying; threw my experience because of my symptoms, which are rapid heart beat, trouble breathing sweaty feet or clammy hands, nausea, trembling, trouble sleeping, going out to do anything became an issue too, socializing and even faint, dizzy, pure fear of death. This has conflicted with my wife, children, jobs and my entire life period. Xanax has given me my life back in full and am currently regaining my life back.  """
Jublia,"Onychomycosis, Toenail","""For what they charge for this medication you would think it would work right? I&#039;ve  and using this medication for one year and I see absolutely no difference total waste of time and money."""
Zyvox,Skin and Structure Infection,"""Currently diagnosed with Systemic Lupus due to a recurring skin staph infection. Infectious Disease Dr. was concerned I.V. port might also get infected so she prescribed a 14 day Zyvox regimen. This is day 7 on it to treat a case of cellulitis on lower left leg. It is very slowly getting better. I suppose this is probably due to my Lupus. I don&#039;t really have any stomach issues, have a yeast infection and trouble sleeping at night. The infected areas skin has turned dark and appears to be shriveling up and is very tight. It seems like it has affected my calf, ankle &amp; foot muscles as they are now really stiff making it difficult to walk without assistance. The medicine is incredibly expensive as well. """
Levonorgestrel,Birth Control,"""Had the Mirena IUD placed during surgery in June 2015. I had spotting and bleeding for a while afterwards. OB/GYM said it takes up to 9 months to adjust. Most recently very light periods, now no period. 

I&#039;m told my hair and skin look heathier, I look like I&#039;m losing weight, I&#039;ve noticed my nails are growing. Most recently though my sex drive has decreased. 

I&#039;m 41, and choose this because the man I was with couldn&#039;t use latex condoms due to an allergy. 

Overall I&#039;m happy with it."""
